"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","beta[1]",-0.30249117824375,-0.300346,0.251739256798557,0.2350617822,-0.72487175,0.1054032,1.00207458919137,2709.38660385376,2533.75662173955
"2","beta[2]",-0.19446106182555,-0.187176,0.398117894859711,0.3849185424,-0.85667815,0.4507569,1.00047608946979,3010.30212075196,2519.8260115829
"3","beta[3]",0.638340609528,0.634149,0.410678156706395,0.4011203952,-0.01916683,1.3083795,1.00025994612794,2858.48401257748,2630.56582332839
"4","beta[4]",-1.02529650895,-1.02222,0.310347609141542,0.3249896265,-1.5410265,-0.50857405,1.00279571900857,2076.9436211174,3058.90938474248
"5","beta[5]",-0.575038578907,-0.568853,0.476960097018106,0.4824195075,-1.378174,0.19973905,1.00064183566312,2801.68989339696,2934.26202093086
"6","beta[6]",-0.2066088380027,-0.212791,0.442286926937574,0.43598425311,-0.93983085,0.5308664,1.00096140702373,2474.031327129,2436.43341349863
"7","sigmaPlot",0.47196786525,0.458796,0.165678571352021,0.1543245753,0.22532605,0.7662292,1.0040534898995,1466.28890028433,1773.52478953372
"8","alpha_pre",1.74228579,1.737685,0.114266683679346,0.112447797,1.5611095,1.937911,1.00067630007748,1394.39550282221,2706.68351283542
"9","alpha_post",2.2982185925,2.29197,0.164124774422964,0.165925179,2.039625,2.578542,1.00502967539414,974.769210874458,2032.5903491548
"10","rho_pre",1.94737304,1.943855,0.155680115910417,0.151106592,1.6970985,2.2050865,1.00445487157352,426.908935039646,965.247980532511
"11","rho_post",1.24339059125,1.2265,0.132141152414782,0.113974875,1.0645335,1.4785545,1.00553964808835,274.830281807135,376.121773054064
"12","kappa",4.344912905,4.23561,0.874979081758238,0.837691239,3.107125,5.92219,1.00360239678971,439.237770380782,944.885640830169
