Dataset,Fuel Component,Statistic,value
Validation,Litter,MAE,1.2257170212765958
Validation,Litter,Mean,2.4212765957446805
Validation,Litter,wMAPE,0.5062275922671354
Validation,FWD1h,MAE,3.838273958333333
Validation,FWD1h,Mean,8.86250000000001
Validation,FWD1h,wMAPE,0.4330915608838735
Validation,FWD10h,MAE,1.5239104166666666
Validation,FWD10h,Mean,2.5458333333333334
Validation,FWD10h,wMAPE,0.598590016366612
Validation,FWD100h,MAE,0.6551000000000001
Validation,FWD100h,Mean,0.6083333333333327
Validation,FWD100h,wMAPE,1.0768767123287684
Training,Litter,MAE,0.8838639150943396
Training,Litter,Mean,2.5009433962264143
Training,Litter,wMAPE,0.35341220294228604
Training,FWD1h,MAE,2.37344322386679
Training,FWD1h,Mean,9.901942645698426
Training,FWD1h,wMAPE,0.2396947052503737
Training,FWD10h,MAE,1.0200919287696577
Training,FWD10h,Mean,2.8774283071230324
Training,FWD10h,wMAPE,0.35451515029738007
Training,FWD100h,MAE,0.3914632114761684
Training,FWD100h,Mean,0.5039333641832484
Training,FWD100h,wMAPE,0.7768154269972453
