"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","beta[1]",1.30009083155556,1.30036,0.0906924527027627,0.086835882,1.152259,1.44776,1.00023351745316,15654.5279813006,21660.7829930153
"2","beta[2]",-0.168882300665509,-0.167183,0.152164835334547,0.1480665207,-0.418866,0.0781101299999999,1.00005491390427,16621.3460583575,21852.8519246944
"3","beta[3]",-0.228758951553747,-0.227701,0.153483804879654,0.1488723138,-0.47935675,0.0205204399999998,1.00005125118023,17652.5347994693,20977.4297676317
"4","beta[4]",-1.44011838658333,-1.438115,0.129547228088702,0.128185596,-1.65556,-1.230808,1.00018571455753,15709.5967574282,22041.996552622
"5","beta[5]",0.0903626891849695,0.0896455,0.211760589734941,0.2135840973,-0.2540909,0.4412561,1.00005123030167,17264.1788940614,23520.6913340779
"6","beta[6]",0.168858086295563,0.169245,0.212516284944217,0.21223419,-0.17913185,0.51689335,1.00014118123816,16646.9398996859,23900.3394390854
"7","sigmaPlot",0.163007702150225,0.1603375,0.073826038806228,0.0703916241,0.04058217,0.28816285,1.0008429002382,5646.2244048241,6284.77191482015
"8","alpha_pre",0.613335505777778,0.612731,0.0471951047448951,0.0468360753,0.5368669,0.692369,1.00080653038317,9584.17937735853,18062.5500357658
"9","alpha_post",0.891143010888889,0.8902965,0.0740003254915129,0.0727571123999999,0.7709116,1.014771,1.00012971822735,9975.50628215288,17592.5168819139
"10","rho_pre",2.87189042472222,2.856065,0.367882260179604,0.361858182,2.290446,3.5040935,1.00037618038816,10468.4561340786,17380.847719107
"11","rho_post",2.98717373638889,2.96762,0.330115814932468,0.316409079,2.486986,3.560992,1.00041436910599,14748.7960885755,21695.8670426785
"12","tau_pre",0.127496742627778,0.1259615,0.0323210394370654,0.0314303787,0.0768971,0.18331505,1.00056421008451,8617.29487508412,14135.8570202614
"13","tau_post",0.163372918332972,0.156703,0.0706522281922455,0.0685131699,0.058667165,0.2901707,1.00048252342653,6417.125991781,8938.83786054142
"14","kappa",722.513279322222,151.662,6402.66257337404,127.20967455,45.343365,1775.792,1.00014223987584,23335.0089856505,20270.8683015226
