"name","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"Intercept",1.16437986275,1.16536,0.075482891169839,0.0719950560000001,1.043293,1.284338,1.00172552711037,1751.06446543512,2093.68813310179
"compB",-0.0121669590345,-0.0138855,0.127271974148782,0.12511928268,-0.2154202,0.19809165,1.00229848252334,1856.10165011405,2118.08971070991
"compC",0.20235924843765,0.199886,0.118128029755968,0.1138607148,0.010601085,0.39851865,0.999507915099268,1985.47988469625,2734.68153663015
"timePost",-1.5606558375,-1.55828,0.147180672737814,0.148623237,-1.802443,-1.321859,1.00152483127606,1782.87559608983,2660.49154812674
"compB:timePost",0.16140538929896,0.1575665,0.230562468140877,0.231832538553,-0.21748395,0.5472541,1.00183951597244,1787.7582484905,2509.47502399454
"compC:timePost",0.2530494651091,0.257411,0.227892793027433,0.2257251087,-0.13089685,0.62815015,1.00153218145306,1494.13210372939,2298.29062839852
"GP SD (pre)",0.5417962825,0.5400655,0.0340006538614472,0.0324644922,0.48761505,0.5999493,1.00073406149014,1583.49714455765,2477.75062954247
"GP SD (post)",0.98417822825,0.979433,0.0799603830489386,0.0795148032,0.8609042,1.1208655,1.00556281971724,1158.69001916758,1752.3297912508
"GP Range (pre)",1.998051,1.9909,0.152861835474837,0.147718851,1.758928,2.2614475,1.00266457489243,492.391379383464,1075.68970449156
"GP Range (post)",3.2014180625,3.17425,0.523543375561753,0.526434195,2.3819155,4.0977965,1.01903732357426,157.547317371708,422.483800024936
"SD Plot",0.12273770381525,0.1190295,0.0668491098628789,0.065857092,0.019231145,0.23886215,1.00271161608373,765.98875454006,825.339442723308
"NB Dispersion",5176.005059375,521.202,119133.333617053,504.3708831,116.21665,6899.27649999997,1.000083260046,5135.97795663027,2078.65981735909
