"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","beta[1]",1.16537815713889,1.16603,0.075199587183968,0.072973572,1.042118,1.287124,1.0000431864896,15139.241951319,20397.6815391403
"2","beta[2]",-0.0127401861167914,-0.01259255,0.125746444652715,0.12082863828,-0.2193545,0.194357,1.00008770992783,16667.3697358487,20699.5805975682
"3","beta[3]",0.204906771526103,0.204342,0.122743669989672,0.1191802836,0.003767142,0.404543949999999,1.0001062534158,16063.0776448405,21181.1257594525
"4","beta[4]",-1.56251304469444,-1.560855,0.148037281199326,0.148919757,-1.808172,-1.322207,1.00049494601706,15497.0176893514,22097.8109390258
"5","beta[5]",0.168371847636323,0.167351,0.230594853039387,0.22969091544,-0.2109409,0.5472499,1.00031679299938,16757.0837017611,23305.123466132
"6","beta[6]",0.258526251826989,0.2590205,0.228277652037142,0.2285887506,-0.11797445,0.631923999999999,1.00048303352304,12933.6669828808,19313.6416943651
"7","sigmaPlot",0.123548535172719,0.121175,0.0646100273888044,0.06484336425,0.020332375,0.23495215,1.00038827795863,6077.97922719666,7143.40440869939
"8","alpha_pre",0.540507081555556,0.5396325,0.0337897052184815,0.0338544297,0.48623875,0.5974596,1.00024049522665,12683.169240607,22515.6683520607
"9","alpha_post",0.988282941611111,0.984255,0.0798154560488525,0.0789128676,0.86379565,1.126261,1.00022968113759,10881.2918070438,18308.4118963011
"10","rho_pre",1.9922463,1.98912,0.153403216469319,0.151758936,1.7461095,2.25183,1.00268291381768,3654.73988900357,7462.03421917572
"11","rho_post",3.19737559388889,3.1722,0.507773005784228,0.526827084,2.4132655,4.067073,1.00279466279944,1200.14570356469,3129.14067763123
"12","kappa",3309.82035016388,503.7115,55335.8555901879,468.1368804,117.0522,6785.499,1.00010477364767,36590.2196255193,17459.0180747535
