"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","beta[1]",1.513700633,1.513385,0.111606200180613,0.109149012,1.330667,1.698562,1.00522676948516,924.299376684372,1877.49267002807
"2","beta[2]",-0.10704744566375,-0.107002,0.185690887804327,0.1739215821,-0.419087,0.19771145,1.00129916203578,1281.12020913767,1983.77094115152
"3","beta[3]",0.2899411588195,0.2891255,0.178013703739409,0.1793167635,-0.000321253199999997,0.58077955,1.00214668136649,1259.50761385068,1917.39219428103
"4","beta[4]",-1.454966906,-1.45474,0.140217628713446,0.146295555,-1.6874025,-1.2307455,1.0062100327874,1031.19456158266,2094.89079011136
"5","beta[5]",-0.0304976235145975,-0.0316071,0.233838791061703,0.2377297209,-0.402894,0.3554556,1.00403600306116,1030.58737849292,1373.11957926445
"6","beta[6]",0.269778681203895,0.2677495,0.224603177748883,0.2280735471,-0.098146185,0.64033865,1.00054846664995,906.968566979887,1752.89023260802
"7","sigmaPlot",0.2351710763525,0.2296125,0.0771019531318951,0.0693827148,0.12069,0.36747175,1.00432240335724,849.506001849698,830.341824888092
"8","alpha_pre",0.77183828325,0.7709165,0.0375645430445794,0.0373163007,0.7134329,0.83594355,1.00545123248608,1205.02423790784,2043.2735859966
"9","alpha_post",1.4025353025,1.398555,0.076564762715174,0.074923191,1.2813165,1.537041,1.00503925459124,706.140230454771,1503.57829953627
"10","rho_pre",1.5736650825,1.57758,0.167003079091673,0.166377372,1.2821785,1.840032,1.02493036804877,124.441175645378,236.933627254735
"11","rho_post",1.027619389,1.02931,0.0666294536221495,0.0661951247999999,0.91665605,1.1344015,1.00632935730122,394.183465120757,883.59133509451
"12","kappa",33.414158475,29.58115,17.358707962276,9.92096616,18.412105,59.84341,1.01487525289278,269.563598476265,894.389726163725
