"metric","pre","post"
"tph","382.1 (104.1)","321.1 (102.5)"
"ba_m2ha","44.5 (17.7)","42.1 (16.9)"
"duff_cm","2.4 (1.1)","1.4 (1)"
"duff_mgha","37.5 (16.8)","22.3 (15.6)"
"litter_cm","3.8 (0.9)","1.3 (0.7)"
"litter_mgha","33.9 (7.8)","11.8 (7.2)"
"1h_count","16.3 (5.5)","3.4 (2.1)"
"1h_mgha","1.2 (0.4)","0.3 (0.1)"
"10h_count","4.4 (1.1)","1.3 (0.6)"
"10h_mgha","4.1 (1)","1.3 (0.5)"
"100h_count","0.7 (0.3)","0.3 (0.2)"
"100h_mgha","8.3 (3.8)","3.6 (1.7)"
"1000h_mgha","17.3 (8.4)","9.9 (4.9)"
"shrub_mgha","1.3 (1.2)","0.9 (0.8)"
