"parameter","Litter","1-hour FWD","10-hour FWD"
"intercept","1.17 (1.02, 1.31)","2.63 (2.42, 2.84)","1.3 (1.12, 1.48)"
"compB","-0.01 (-0.26, 0.24)","-0.27 (-0.63, 0.09)","-0.17 (-0.47, 0.13)"
"compC","0.2 (-0.04, 0.45)","-0.25 (-0.61, 0.11)","-0.23 (-0.53, 0.07)"
"timePost","-1.56 (-1.86, -1.28)","-2.29 (-2.71, -1.9)","-1.44 (-1.7, -1.19)"
"compBtimePost","0.17 (-0.28, 0.62)","0.01 (-0.66, 0.69)","0.09 (-0.32, 0.51)"
"compCtimePost","0.26 (-0.19, 0.7)","-0.36 (-1.06, 0.31)","0.17 (-0.25, 0.58)"
"sigma_plot","0.12 (0.01, 0.26)","0.23 (0.09, 0.42)","0.16 (0.02, 0.32)"
"alpha_pre","0.54 (0.48, 0.61)","0.63 (0.56, 0.71)","0.61 (0.52, 0.71)"
"alpha_post","0.98 (0.84, 1.16)","1.36 (1.17, 1.61)","0.89 (0.75, 1.04)"
"rho_pre","1.99 (1.7, 2.3)","3.5 (2.87, 4.29)","2.86 (2.2, 3.64)"
"rho_post","3.17 (2.3, 4.25)","6.85 (5.63, 8.37)","2.97 (2.4, 3.71)"
"tau_pre",NA,"0.08 (0.05, 0.12)","0.13 (0.07, 0.2)"
"tau_post",NA,"0.44 (0.32, 0.59)","0.16 (0.04, 0.32)"
"kappa","503.71 (95.2, 13861.93)","36.15 (25.66, 54.58)","151.66 (38.86, 3489.39)"
